;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;120,43 €;;
Name;Price;Qt;;;Link;;Total;;
Esp32;8,83 €;1;;;Mouser;;€ 8,83;;
Water Pump;8,05 €;1;;;Mouser;;€ 8,05;;
MOSFET;1,08;1;;;Mouser;;€ 1,08;;
Solder;9,88 €;1;;;Mouser;;€ 9,88;; 
Terminal Blocks;0,31 €;2;;;Mouser;;€ 0,62;;
Diode;0,10 €;1;;;Mouser;;€ 0,10;;
Potentiometer;1,63 €;1;;;Mouser;;€ 1,63;;
Mouser Shipping + TVA;33,93 €;1;;;;;€ 33,93;;
Flux;19,45;1;;;Mouser;;€ 19,45;;
PCB ;18,47;1;;;Screenshot;;€ 18,47;;
Power supply + Shipping;8,2;1;;;Aliexpress;;€ 8,20;;
ESP32 Battery;10,19;1;;;Amazon;;€ 10,19;;
